Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,4.0,0.0,0.0,0.0,"['Thread', 'sleep', 'renewer', 'removeRenewAction', 'addRenewAction']","['item', 'toFile', 'PathData', 'File', 'conf']","['dir', 'contextCfgItemName', 'conf', 'removeContext', 'isContextValid']","['ActiveMQConnectionFactory', 'createConnection', 'start', 'Thread', 'join']","['runRead', 'runWrite', 'CancelIndicator', 'join', 'Assert']"
0.0,1.0,0.0,0.0,0.0,"['AtomicInteger', 'incrementAndGet', 'scheduleRecurring', 'cancelAndWaitTermination', 'assertEventually']","['Thread', 'Producer', 'Consumer', 'Connection', 'Session']","['Test', 'TimeLimitExceededListener', 'startTimer', 'verify', 'size']","['Build', 'SDK_INT', 'getNanoTime', 'assertNotEquals', '0']","['test', 'throws', 'tags', 'subscription', 'json']"
0.0,6.0,0.0,0.0,4.0,"['DateFormat', 'format', 'parse', 'current', 'Date']","['await', 'Dispatcher', 'ResourceManager', 'Configuration', 'MockNM', 'ContainerRequestEvent']","['async', 'await', 'Thread', 'sleep', 'wait']","['scheduleRecurring', 'AtomicInteger', 'throw', 'incrementAndGet', 'cancelAndWaitTermination']","['ImmutableList', 'assertThat', 'containsExactlyInAnyOrder', 'repairTaskRanges', 'repairGroup']"
0.0,0.0,0.0,4.0,6.0,"['assertTrue', 'createSubcontext', 'CompositeName', 'instanceof', 'NamingContext']","['shards', 'sweepers', 'threads', 'LockRequest', 'captor']","['waitState', 'workflowId', 'RUNNING', 'STOPPED', 'verifyProgramRuns']","['AtomicBoolean', 'PriorityElectionTimer', 'Duration', 'awaitility', 'verify']","['fireEvent', 'await', 'latch', '1', 'TimeUnit']"
3.0,6.0,6.0,0.0,6.0,"['EnumUtil', 'getFieldNames', 'TestEnum', 'CollUtil', 'newArrayList']","['Async', 'wait', 'condition', 'Thread', 'sleep']","['TaskId', 'StageId', 'URI', 'MockExchangeRequestProcessor', 'TestingExchangeClientBuffer', 'DataSize', 'ExchangeClient', 'TestingHttpClient', 'scheduler', 'assertEventually']","['Map', 'Multimap', 'SetMultimap', 'HashMultimap', 'JSON']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,6.0,0.0,3.0,4.0,"['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['await', 'async', 'promise', 'callback', 'event']","['token', 'sleep', 'fail', 'ace', 'it']","['expectedBodiesReceivedInAnyOrder', 'allMessages', 'expectedHeaderValuesReceivedInAnyOrder', 'send', 'assertIsSatisfied']","['ctx', 'Arrays', 'interval', 'ResponseContext', 'serializeWith']"
0.0,0.0,2.0,0.0,6.0,"['AtomicInteger', 'synchronizedList', 'incrementAndGet', 'Thread', 'sleep']","['FileSystem', 'currentTimeMillis', 'setLong', 'randomReadTest', 'analyzeResult']","['await', '5', 'TimeUnit', 'SECONDS', 'timer']","['iterator', 'next', 'getApiDocs', 'getAuth', 'getMethods']","['await', 'async', 'Thread', 'sleep', '1000']"
0.0,6.0,6.0,0.0,6.0,"['FileSystem', 'currentTimeMillis', 'randomReadTest', 'analyzeResult', 'TEST_TYPE_READ_RANDOM']","['sleep', 'await', 'wait', 'synchronized', 'lock']","['await', 'Thread', 'lock', 'synchronized', 'condition']","['@Cleanup', 'BlockingQueue', 'poll', 'await', 'join']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
6.0,1.0,4.0,6.0,0.0,"['KernelServices', 'compositeOp', 'executeOperation', 'ModelNode', 'Operations']","['Collection', 'ArrayList', 'LongTokenRange', 'CountDownLatch', 'Notification']","['testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut', 'StatusPrinter', 'field', 'setAccessible', 'System.out']",[],"['FileSystem', 'currentTimeMillis', 'randomReadTest', 'analyzeResult', 'TEST_TYPE_READ_BACKWARD']"
0.0,0.0,0.0,4.0,6.0,"['resetFileSystem', 'Configuration', 'uri', 'HftpFileSystem', 'fs']","['tomcat', 'ExecutorServlet', 'Thread', 'sleep', 'shutdown']","['deserialize', 'extend', 'deserialize', 'class', 'actual']","['sleep', 'wait', 'list', 'response', 'delete']",['<provide 5 tokens>']
